"date","clients","projects","grants","max_record_num"
2023-04-10,298,421,36,658
2023-03-20,296,418,36,554
2023-03-19,296,418,36,554
2023-03-18,296,418,36,554
2023-03-17,296,418,36,554
2023-03-16,296,418,36,554
2023-03-15,295,417,36,553
2023-03-14,295,417,36,553
2023-03-13,295,417,36,553
2023-03-12,295,417,36,553
2023-03-11,295,417,36,553
2023-03-10,295,417,36,553
2023-03-09,295,417,36,553
2023-03-08,295,417,36,553
2023-03-07,295,417,36,553
2023-03-06,295,417,36,553
2023-03-05,295,417,36,553
2023-03-04,295,417,36,553
2023-03-03,295,417,36,553
2023-03-02,294,416,36,552
2023-03-01,294,416,36,552
2023-02-28,294,416,36,552
2023-02-27,294,416,36,552
2023-02-26,294,416,36,552
2023-02-25,294,416,36,552
2023-02-24,294,416,36,552
2023-02-23,294,416,36,552
2023-02-22,294,416,36,552
2023-02-21,294,416,36,552
2023-02-20,293,414,36,550
2023-02-19,293,413,36,549
2023-02-18,293,413,36,549
2023-02-17,293,413,36,549
2023-02-16,293,413,36,549
2023-02-15,293,413,36,549
2023-02-14,293,413,36,549
2023-02-13,293,413,36,549
2023-02-12,292,412,36,548
2023-02-11,292,412,36,548
2023-02-10,292,412,36,548
2023-02-09,292,412,36,548
2023-02-08,291,411,36,547
2023-02-07,291,411,36,547
2023-02-06,291,410,36,546
2023-02-04,291,410,36,546
2023-02-03,291,410,36,546
2023-02-02,291,410,36,546
2023-02-01,291,410,36,546
2023-01-31,291,410,36,546
2023-01-30,291,410,36,546
2023-01-29,291,410,36,546
2023-01-28,291,410,36,546
2023-01-27,291,410,36,546
